"access_code","access_days_time","date_last_confirmed","fuel_type_code","id","open_date","restricted_access","station_name","facility_type","latitude","longitude","city","state","street_address","zip","county"
"public","Dealership business hours","2021-10-12","ELEC",53421,"2013-10-01",TRUE,"Century Ford","CAR_DEALER",39.368505,-77.143072,"Mt. Airy","MD","302 Century Dr","21771","Carroll County"
"public","Dealership business hours","2021-09-10","ELEC",53423,"2013-01-01",FALSE,"Safford Ford Lincoln of Salisbury","CAR_DEALER",38.389455,-75.580663,"Salisbury","MD","1902 N Salisbury Blvd","21801","Wicomico County"
"public","Dealership business hours","2021-10-12","ELEC",53863,"2013-04-01",TRUE,"Bob Davidson Ford Lincoln","CAR_DEALER",39.399825,-76.551098,"Baltimore","MD","1845 E Joppa Rd","21234","Baltimore County"
"private","Service center use only","2022-11-10","ELEC",53864,"2013-08-01",NA,"Apple Ford Lincoln","CAR_DEALER",39.187485,-76.818271,"Columbia","MD","8800 Stanford Blvd","21045","Howard County"
"public","Dealership business hours","2021-10-12","ELEC",53866,"2013-08-01",TRUE,"Hagerstown Ford","CAR_DEALER",39.628969,-77.76681,"Hagerstown","MD","1714 Massey Blvd","21740","Washington County"
"public","24 hours daily","2023-05-06","ELEC",55670,"2011-12-31",NA,"MAPLE LAWN 6 STATION 01",NA,39.150946,-76.9027,"Fulton","MD","8135 Maple Lawn Blvd","20759","Howard County"
"public","Dealership business hours","2022-03-07","ELEC",60901,"2012-01-01",FALSE,"Pohanka Nissan - Salisbury","CAR_DEALER",38.392257,-75.575718,"Salisbury","MD","2012 N Salisbury Blvd","21801","Wicomico County"
"public","24 hours daily","2023-05-06","ELEC",61601,"2014-05-06",NA,"COLUMBIA ASSOC COLUMBIA GYM",NA,39.211384,-76.933986,"Clarksville","MD","6151 Day Long Ln","21029","Howard County"
"public","24 hours daily","2023-05-06","ELEC",61603,"2014-05-06",NA,"TOWSON BMW STATION 01",NA,39.410302,-76.616611,"Towson","MD","700 Kenilworth Dr","21204","Baltimore County"
"public","24 hours daily","2023-05-06","ELEC",61608,"2014-05-06",NA,"BMW CATONSVILLE STATION 01",NA,39.289984,-76.770368,"Baltimore","MD","6700 Baltimore National Pike","21228","Baltimore County"
"public","24 hours daily","2023-05-06","ELEC",62102,"2014-06-11",NA,"CENTRAL GARAGE CENTRAL GARAGE",NA,38.983183,-77.092015,"Bethesda","MD","7315 Wisconsin Ave Enter by Hilton Garden Inn","20814","Montgomery County"
"public","24 hours daily","2023-05-06","ELEC",63262,"2014-09-12",NA,"OAK CREST TOWN CENTER",NA,39.35846,-76.536562,"Baltimore","MD","3700 E Northern Pkwy","21206","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",63769,"2014-10-17",NA,"NAVY EXCHANGE ANNAPOLIS",NA,38.995515,-76.470508,"Annapolis","MD","693 Kinkaid Rd","21402","Anne Arundel County"
"public","24 hours daily","2023-05-06","ELEC",63824,"2014-10-21",NA,"UM PTS PLAZA #2",NA,39.288696,-76.623385,"Baltimore","MD","500-598 W Redwood St","21201","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",65645,"2015-02-11",NA,"KING VW VW_409151_A",NA,39.159345,-77.217727,"Gaithersburg","MD","979 N Frederick Ave","20879","Montgomery County"
"public","24 hours daily","2023-05-06","ELEC",65654,"2015-02-12",NA,"MCDOT-PARKING GARAGE 31- 3",NA,38.980281,-77.095132,"Bethesda","MD","7171 Woodmont Ave","20815","Montgomery County"
"private","GOV Only","2021-02-22","ELEC",65688,"2015-01-26",NA,"Smithsonian Museum Support Center","FED_GOV",38.841751,-76.938549,"Camp Springs","MD","4210 Silver Hill Rd","20746","Prince George's County"
"public","24 hours daily","2023-05-06","ELEC",65761,"2015-02-19",NA,"MCDOT-PARKING GARAGE 31- 2",NA,38.980271,-77.095092,"Bethesda","MD","7171 Woodmont","20815","Montgomery County"
"public","24 hours daily","2022-11-10","ELEC",66639,"2015-01-12",FALSE,"Maryland Institute College of Art - Commons Hall","COLLEGE_CAMPUS",39.308846,-76.625419,"Baltimore","MD","130 McMechen St","21217","Baltimore City"
"public","8am-5pm daily","2022-11-10","ELEC",66640,"2015-01-12",FALSE,"Maryland Institute College of Art - Lazarus Center","COLLEGE_CAMPUS",39.31074,-76.618931,"Baltimore","MD","131 W North Ave","21201","Baltimore City"
"public","Garage business hours","2022-11-10","ELEC",66641,"2015-04-01",FALSE,"University of Baltimore - Maryland Avenue Garage","COLLEGE_CAMPUS",39.302352,-76.617606,"Baltimore","MD","1104 Maryland Ave","21201","Baltimore City"
"public","9am-5pm daily","2022-11-10","ELEC",66642,"2015-02-27",FALSE,"Mayflower Properties","OFFICE_BLDG",39.30246,-76.616698,"Baltimore","MD","1110 Morton St","21201","Baltimore City"
"private","Employee use only","2023-01-10","ELEC",67144,"2014-08-12",NA,"CareFirst BlueCross BlueShield","OFFICE_BLDG",39.406266,-76.793717,"Owings Mills","MD","10455 Mill Run Cir","21117","Baltimore County"
"public","24 hours daily","2021-10-12","ELEC",67146,"2015-05-07",FALSE,"Parkview Business Center","OFFICE_BLDG",39.653116,-77.715766,"Hagerstown","MD","201 Prospect Ave","21742","Washington County"
"private",NA,"2022-09-14","ELEC",67148,"2012-04-07",NA,"Advanced Technology and Research","RESEARCH_FACILITY",39.060091,-76.889953,"Beltsville","MD","12301 Kiln Ct","20705","Prince George's County"
"private","Service center use only","2023-01-10","ELEC",67151,"2014-09-30",NA,"BMW of Rockville","CAR_DEALER",39.069543,-77.130584,"Rockville","MD","1300 Rockville Pike","20852","Montgomery County"
"public","24 hours daily; for client use","2021-10-12","ELEC",67733,"2015-05-20",TRUE,"Haight Funeral Home & Chapel","PLACE_OF_WORSHIP",39.397094,-76.956702,"Sykesville","MD","6416 Sykesville Rd","21784","Carroll County"
"public","24 hours daily","2021-10-12","ELEC",67759,"2015-04-01",FALSE,"Mount Airy Municipal Parking Lot","PARKING_LOT",39.375442,-77.154666,"Mt. Airy","MD","255-299 Cross St","21771","Carroll County"
"public","24 hours daily","2023-05-06","ELEC",68244,"2015-07-14",NA,"MTA LTR CROMWELL",NA,39.172022,-76.633261,"Glen Burnie","MD","7378 Baltimore Annapolis Blvd","21061","Anne Arundel County"
"public","8am-5pm daily","2022-11-10","ELEC",68278,"2015-07-02",FALSE,"First United Evangelical and Reformed Church","STANDALONE_STATION",39.281321,-76.542569,"Baltimore","MD","6115 O'Donnell St","21224","Baltimore City"
"private","Employee use only; must have key fob to activate","2022-09-14","ELEC",68576,"2014-12-01",NA,"City of Bowie - City Hall","MUNI_GOV",38.942487,-76.728925,"Bowie","MD","15901 Excalibur Rd","20716","Prince George's County"
"public","24 hours daily","2022-11-10","ELEC",68577,"2015-08-01",FALSE,"Marriott Garage","PARKING_GARAGE",39.287168,-76.621895,"Baltimore","MD","101 S Paca St","21201","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",68803,"2015-08-05",NA,"FITZGERALD FITZGERALD",NA,39.418939,-77.436136,"Frederick","MD","114 Baughmans Ln","21702","Frederick County"
"public","24 hours daily","2023-05-06","ELEC",68812,"2015-08-05",NA,"MTA BUS DUNKIRK",NA,38.727007,-76.656474,"Dunkirk","MD","10839 Town Center Blvd","20754","Calvert County"
"public","24 hours daily","2023-05-06","ELEC",68814,"2015-08-05",NA,"MTA MARC HALETHORPE",NA,39.231848,-76.69217,"HALETHORPE","MD","5833 SOUTHWESTERN BLVD","21227","Baltimore County"
"public","24 hours daily","2023-05-06","ELEC",68816,"2015-08-05",NA,"CONOWINGO DAM CONOWINGO FISHE",NA,39.655718,-76.174479,"Darlington","MD","2559 Shureslanding Rd","21034","Harford County"
"public","24 hours daily","2023-05-06","ELEC",68842,"2015-08-06",NA,"MTA LTR N LINTHICUM",NA,39.214402,-76.645894,"Linthicum Heights","MD","450 N Camp Meade Rd","21090","Anne Arundel County"
"public","24 hours daily","2023-05-06","ELEC",68996,"2015-08-12",NA,"EVSP WALGREENS STORE 5587",NA,39.413183,-76.462994,"Nottingham","MD","9621 Belair Rd","21236","Baltimore County"
"public","24 hours daily","2023-05-06","ELEC",69011,"2015-08-14",NA,"EVSP WALGREENS STORE 5409",NA,39.287182,-76.563048,"Baltimore","MD","4020 Eastern Ave","21224","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",69121,"2015-08-20",NA,"EVSP WALGREENS STORE 6320",NA,39.32023,-76.758445,"Woodlawn","MD","2260-2298 N Rolling Rd","21244","Baltimore County"
"public","24 hours daily","2022-11-10","ELEC",69736,"2015-10-01",FALSE,"Redwood Garage","PARKING_GARAGE",39.288504,-76.620394,"Baltimore","MD","11 S Eutaw St","21201","Baltimore City"
"public","8am-5pm daily","2022-11-10","ELEC",69737,"2015-09-01",FALSE,"Annex Garage","PARKING_GARAGE",39.414063,-77.413739,"Frederick","MD","140 W Patrick St","21701","Frederick County"
"public","Garage business hours","2022-11-10","ELEC",69942,"2015-10-15",FALSE,"Fleet & Eden Garage","PAY_GARAGE",39.285366,-76.598315,"Baltimore","MD","501 S Eden St","21231","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",70034,"2015-09-24",NA,"MCDOT-PARKING GARAGE 11",NA,38.998078,-77.096876,"Bethesda","MD","7730 Woodmont Ave","20814","Montgomery County"
"public","24 hours daily","2022-11-10","ELEC",70442,"2015-10-12",FALSE,"Signet Garage","PARKING_GARAGE",39.29195,-76.611345,"Baltimore","MD","210 Guilford Ave","21202","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",70522,"2015-10-16",NA,"MCDOT-PARKING GARAGE 9",NA,38.987962,-77.029344,"Silver Spring","MD","8040 Kennett St","20910","Montgomery County"
"public","24 hours daily","2023-05-06","ELEC",70523,"2015-10-16",NA,"MCDOT-PARKING GARAGE 47",NA,38.984088,-77.091446,"Bethesda","MD","4501-4623 Montgomery Ave","20814","Montgomery County"
"public","24 hours daily","2022-11-10","ELEC",70535,"2015-10-16",FALSE,"Cathedral Garage","PARKING_GARAGE",39.293793,-76.616977,"Baltimore","MD","320 Cathedral St","21201","Baltimore City"
"public","24 hours daily","2022-11-10","ELEC",70606,"2015-10-20",FALSE,"Arena Garage","PARKING_GARAGE",39.289385,-76.618742,"Baltimore","MD","201 W Baltimore St","21201","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",70699,"2015-10-27",NA,"MCDOT-PARKING GARAGE 7",NA,38.997081,-77.03168,"Silver Spring","MD","8530 Cameron St","20910","Montgomery County"
"public","24 hours daily","2023-05-06","ELEC",70700,"2015-10-27",NA,"MCDOT-PARKING GARAGE 45-2",NA,39.04017,-77.04886,"Wheaton-Glenmont","MD","11304 Amherst Ave","20902","Montgomery County"
"private",NA,"2022-01-10","ELEC",70964,"2015-11-01",NA,"Ivy Car Barn","PARKING_GARAGE",39.302532,-76.610935,"Baltimore","MD","311 E Chase St","21202","Baltimore City"
"private","Employee use only","2022-01-10","ELEC",71142,"2015-12-01",NA,"Department of General Services - Parking Lot","PARKING_LOT",39.305588,-76.566117,"Baltimore","MD","3800 E Biddle St","21213","Baltimore City"
"public","24 hours daily","2022-11-10","ELEC",71143,"2015-11-15",FALSE,"Water Street Garage","PARKING_GARAGE",39.288514,-76.611444,"Baltimore","MD","22 S Gray St","21201","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",71268,"2015-11-21",NA,"TONH STATION 2",NA,38.794252,-77.002668,"Oxon hill","MD","6800 Oxon Hill Rd","20745","Prince George's County"
"public","24 hours daily","2023-05-06","ELEC",71269,"2015-11-21",NA,"TONH STATION 1",NA,38.794258,-77.002585,"Fort Washington","MD","6800 Oxon Hill Rd","20745","Prince George's County"
"private","Employee and student use only","2022-01-10","ELEC",71490,"2015-11-24",NA,"Maryland Institute of College and Art","COLLEGE_CAMPUS",39.309895,-76.642505,"Baltimore","MD","1601 W North Ave","21217","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",71923,"2015-12-18",NA,"SHERATON DC FAST CHARGE",NA,39.047672,-76.934914,"Beltsville","MD","4095 Powder Mill Rd","20705","Prince George's County"
"public","24 hours daily","2023-05-06","ELEC",71959,"2015-12-22",NA,"01 ST. PAUL SP APT",NA,38.871576,-76.895604,"Capitol Heights","MD","1207 Addison Rd S","20743","Prince George's County"
"private",NA,"2022-11-10","ELEC",72011,"2015-12-24",NA,"Safety First","OFFICE_BLDG",39.48881,-77.696524,"Keedysville","MD","38 N Main St","21756","Washington County"
"public","8am-5pm daily","2022-11-10","ELEC",72344,"2016-01-01",FALSE,"Back River Treatment Plant","MUNI_GOV",39.300234,-76.492813,"Baltimore","MD","8201 Eastern Ave","21224","Baltimore County"
"public","24 hours daily","2023-05-06","ELEC",72427,"2016-01-09",NA,"EVSP WALGREENS STORE 7573",NA,39.371322,-76.609294,"Baltimore","MD","6301 York Rd","21212","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",72428,"2016-01-09",NA,"EVSP WALGREENS STORE 5408",NA,39.312348,-76.599668,"Baltimore","MD","1300 E North Ave","21213","Baltimore City"
"public","24 hours daily","2023-05-06","ELEC",72467,"2016-01-09",NA,"TRANSPORTATION STATION3",NA,39.310028,-76.729627,"Baltimore","MD","6401 Security Blvd","21235","Baltimore County"
"public","8am-5pm daily","2023-01-10","ELEC",72526,"2016-01-01",FALSE,"Carrollton Inn","B_AND_B",39.288678,-76.604209,"Baltimore","MD","50 Albermarle St","21202","Baltimore City"
"public","24 hours daily","2021-10-12","ELEC",72688,"2013-10-01",FALSE,"War Memorial Plaza","PARKING_LOT",39.291177,-76.60939,"Baltimore","MD","400 E Lexington St","21202","Baltimore City"
"private",NA,"2022-10-11","ELEC",72718,"2016-01-25",NA,"Marriott International","OFFICE_BLDG",39.0248093,-77.139999,"Bethesda","MD","10400 Fernwood Rd","20817","Montgomery County"
"private","24 hours daily; guest use only","2022-10-11","ELEC",72724,"2016-01-25",NA,"DrChrono","OFFICE_BLDG",39.490846,-76.663426,"Hunt Valley","MD","225 Schilling Cir","21031","Baltimore County"
"private",NA,"2021-09-10","ELEC",73114,"2020-10-26",NA,"OpenPath Products","OFFICE_BLDG",38.9921099,-76.54995,"Annapolis","MD","2065 Generals Hwy","21401","Anne Arundel County"
"public","8am-5pm M-F","2022-11-10","ELEC",73224,"2016-01-23",FALSE,"Fox and Bunting Building","OFFICE_BLDG",39.308041,-76.621291,"Baltimore","MD","1303 W Mount Royal Ave","21217","Baltimore City"
"public","24 hours daily","2021-10-12","ELEC",73514,"2016-02-16",FALSE,"Baltimore City","PARKING_LOT",39.291205,-76.609313,"Baltimore","MD","400 E Lexington St","21202","Baltimore City"
"public","8am-5pm daily","2022-11-10","ELEC",73607,"2016-02-09",FALSE,"Gramercy Mansion","B_AND_B",39.42522,-76.694873,"Stevenson","MD","1400 Greenspring Valley Rd","21153","Baltimore County"
"public","8am-5pm daily","2022-11-10","ELEC",73608,"2016-02-11",FALSE,"Hotel Indigo","HOTEL",39.295255,-76.61648,"Baltimore","MD","24 W Franklin St","21201","Baltimore City"
"public","8am-5pm daily","2022-11-10","ELEC",74037,"2016-02-26",FALSE,"Montebello Filtration Plant","MUNI_GOV",39.336584,-76.588301,"Baltimore","MD","3901 Hillen Rd","21218","Baltimore City"
"public","24 hours daily","2022-11-10","ELEC",74302,"2016-03-01",FALSE,"Town of Ocean City - 300 St. Louis Ave Street Parking","STREET_PARKING",38.335516,-75.087156,"Ocean City","MD","300 St. Louis Ave","21842","Worcester County"
"public","24 hours daily","2022-11-10","ELEC",74303,"2016-03-01",FALSE,"Town of Ocean City - Municipal Parking","HOTEL",38.414273,-75.058153,"Ocean City","MD","10007 Coastal Hwy","21842","Worcester County"
